Player,2x2x2_single,2x2x2_average,3x3x3_single,3x3x3_average,4x4x4_single,4x4x4_average,5x5x5_single,5x5x5_average,3x3x3 1H_single,3x3x3 1H_average
Max Park,2.88,4.31,3.13,4.86,15.71,19.38,32.23,34.76,6.2,8.46
Ruihang Xu,0.89,1.49,3.24,4.84,18.79,20.6,40.18,43.65,6.78,8.7
Yiheng Wang,0.54,0.86,3.27,4.05,23.89,32.41,77.94,89.08,11.02,12.71
Luke Garrett,0.51,1.15,3.44,4.94,20.36,24.14,39.83,46.89,6.48,8.85
Aaron Huynh,0.68,2.31,3.46,5.63,25.54,29.8,52.89,61.48,10.77,13.92
Yusheng Du,1.08,1.88,3.47,5.86,23.43,27.1,46.91,53.54,9.11,11.42
Matty Hiroto Inaba,1.07,2.14,3.59,5.06,17.1,21.5,37.53,41.85,6.38,10.37
Tymon Kolasiǹski,0.6,1.35,3.66,4.67,16.19,19.17,30.45,34.79,8.91,11.8
Aidan Grainger,0.94,2.14,3.69,7.75,29.98,34.21,55.41,62.14,12.83,16.23
Claudio Matias Cancino Bruna,1.7,2.24,3.74,5.83,21.21,24.59,41.83,46.7,8.53,10.12
